title,author,pub_date,genres
Ninety-Three,Victor Hugo,1874,"Historical fiction, Fiction"
Le Dernier jour d'un condamné,Victor Hugo,1829,
Along Came a Spider,Athena Alexis,1993,"Thriller, Crime Fiction, Speculative fiction, Mystery"
Les Enfants Terribles,Jean Cocteau,1929,"Children's literature, Fiction"
The Alienist,Caleb Carr,1994-03-15,"Crime Fiction, Speculative fiction, Historical novel"
Zami: A New Spelling of My Name,Audre Lorde,1982,Biography
Giovanni's Room,James Baldwin,1956,Novel
Coquette,Hannah Webster Foster,1797,
The Rocking-Horse Winner,D. H. Lawrence,,
Ten Men,Alexandra Gray,2005-01-13,Novel
Man of Two Worlds,Brian Herbert,1986,"Science Fiction, Speculative fiction"
Tower of Glass,Robert Silverberg,1970,"Science Fiction, Speculative fiction, Novel"
Callahan's Lady,Spider Robinson,1989-05-01,"Science Fiction, Speculative fiction"
Cyrano de Bergerac,Edmond Rostand,,
Rouse Up O Young Men of the New Age!,Kenzaburō Ōe,,
Beggars Ride,Nancy Kress,1996,"Science Fiction, Speculative fiction, Fiction"
Age of Iron,John Maxwell Coetzee,1990-10,Novel
The Broker,John Grisham,2005-01-11,"Thriller, Mystery, Novel, Fiction"
Sphereland,Dionys Burger,1965,"Science Fiction, Science"
Mr. Midshipman Hornblower,C. S. Forester,1950,"Historical fiction, Fiction, Historical novel"
Lieutenant Hornblower,C. S. Forester,1952,"Historical fiction, Fiction, Historical novel"
Hornblower and the Hotspur,C. S. Forester,1962,"Historical fiction, Fiction, Historical novel"
Across the River and Into the Trees,Ernest Hemingway,1950,"Fiction, Novel"
The Pigman,Paul Zindel,1968-10-12,"Children's literature, Young adult literature, Fiction, Novel"
Consider Her Ways,,,
Ages in Chaos,Immanuel Velikovsky,,"Mathematics, Science, Sociology"
Inkheart,Cornelia Funke,2003-09-23,"Speculative fiction, Fantasy, Children's literature, Bildungsroman"
Death Is a Lonely Business,Ray Bradbury,1985-10,"Mystery, Speculative fiction"
Piece by Piece,Ann Powers,2005-02,
Birthright: The Book of Man,Mike Resnick,,"Science Fiction, Speculative fiction"
Westward Ho!,,,Historical novel
Because of Winn-Dixie,Kate DiCamillo,,"Children's literature, Young adult literature, Fiction"
The Princess and the Goblin,George MacDonald,1872,"Speculative fiction, Fantasy, Children's literature"
Queen Zixi of Ix,L. Frank Baum,,"Children's literature, Fantasy, Speculative fiction, Novel"
The Sand Child,Tahar Ben Jelloun,1985,"Novel, Magic realism"
"Blood Meridian, or the Evening Redness in the West",Cormac McCarthy,1985-02,"Western, Fiction, Historical novel"
All the Pretty Horses,Cormac McCarthy,1992-05,"Children's literature, Fiction, Novel"
The Titan,P. Schuyler Miller,1914,"Business, Inspirational, Speculative fiction, Economics"
In Desert and Wilderness,Henryk Sienkiewicz,1912,"Young adult literature, Fiction"
My Inventions: The Autobiography of Nikola Tesla,Ben Johnston,1919,Autobiography
Child of God,Cormac McCarthy,1974,"Gothic fiction, Fiction, Novel"
Suttree,Cormac McCarthy,1979-05,"Autobiographical novel, Fiction"
The Crossing,Cormac McCarthy,1994-06,Fiction
Cities of the Plain,Cormac McCarthy,1998-05-12,"Western fiction, Fiction, Novel"
Parthiban Kanavu,Kalki Krishnamurthy,2003-01,Historical novel
The Garden of the Finzi-Continis,Giorgio Bassani,1962,"Historical fiction, Fiction, Historical novel"
Checkmate,,,
The Summer Tree,Guy Gavriel Kay,1984,"Science Fiction, Speculative fiction, Fantasy"
Trouble with Lichen,John Wyndham,1960,"Science Fiction, Speculative fiction"
The Outward Urge,John Wyndham,1959,"Science Fiction, Speculative fiction"
Absolute Beginners,Colin MacInnes,1959,"Mystery, Novel, Fiction, Suspense"
Q-Squared,Peter David,1994-07,"Science Fiction, Speculative fiction"
Cloud Atlas,David Mitchell,2004,"Fantasy, Fiction, Novel"
Lottie and Lisa,Erich Kästner,,Children's literature
Spartacus,Lewis Grassic Gibbon,,"Biography, Historical fiction, Fiction"
Naomi,,1947-11,Novel
Alton Locke,,,Industrial novel
Paladin of Souls,Lois McMaster Bujold,2003-09-23,"Speculative fiction, Fantasy"
The Princess of Cleves,"Marie-Madeleine Pioche de la Vergne, comtesse de la Fayette",1678-03,
Adam Bede,George Eliot,1859,"Fiction, Historical novel"
Nuns and Soldiers,Iris Murdoch,1980,"Fiction, Novel"
Firewing,Kenneth Oppel,2002-04-18,"Children's literature, Fantasy, Speculative fiction, Fiction"
Splinter of the Mind's Eye,Alan Dean Foster,1978,Science Fiction
The Living Corpse,Leo Tolstoy,1911,
The Very Hungry Caterpillar,Eric Carle,1969-12-31,"Picture book, Children's literature, Fiction"
Queen of the Demonweb Pits,,,Role-playing game
Terminal,Robin Cook,1993,"Thriller, Speculative fiction, Novel"
Seize the Day,Saul Bellow,1956,Fiction
Summer Sisters,Judy Blume,1998,Novel
End Zone,Don DeLillo,1972-03,"Speculative fiction, Fiction, Novel"
Mike Nelson's Death Rat!,,,Comedy
The Final Unfinished Voyage of Jack Aubrey,Patrick O'Brian,2004,"Historical fiction, Fiction, Historical novel"
Mrs. Warren's Profession,George Bernard Shaw,,
Confessions of a Crap Artist,Philip K. Dick,1975,"Science Fiction, Novel"
Join My Cult,James Curcio,2004-11,"Satire, Speculative fiction, Novel"
The Virginian,Owen Wister,1902,"Western fiction, Western, Children's literature, Fiction"
Queer,William S. Burroughs,1985-11,"Novel, Novella"
Lunar Park,Bret Easton Ellis,2005-08-16,"Speculative fiction, Horror, Fiction, Roman à clef"
War and Remembrance,Herman Wouk,1978,"War novel, Children's literature, Fiction"
Lair of the White Worm,Bram Stoker,1911,"Science Fiction, Speculative fiction, Horror, Fiction"
The Book and the Brotherhood,Iris Murdoch,,
Nightmare Alley,William Lindsay Gresham,1946,Novel
Corazón salvaje,Caridad Bravo Adams,,
Damnation Alley,Roger Zelazny,1969,"Science Fiction, Speculative fiction"
Curtain,Agatha Christie,1975-09,"Crime Fiction, Mystery, Children's literature, Fiction"
Yumegari,,,
Take Me Out,Richard Greenberg,,
Enemy Mine,David Gerrold,,"Speculative fiction, Fiction"
A Widow for One Year,John Irving,1998-05-05,"Speculative fiction, Fiction"
The Looking-Glass War,John le Carré,1965-06,Spy fiction
Confessions of an English Opium-Eater,Thomas de Quincey,,"Autobiography, Biography, Fiction, Poetry"
Efuru,Flora Nwapa,1966,
The Canterville Ghost,Oscar Wilde,,"Children's literature, Horror, Fiction"
Moonlight Shadow,,,
Outcast of Redwall,Brian Jacques,1995,"Science Fiction, Children's literature, Fantasy, Speculative fiction"
Love! Valour! Compassion!,Terrence McNally,,
Isle of the Dead,Roger Zelazny,1969,"Science Fiction, Speculative fiction"
Men Among the Ruins,,,
The Truth,Terry Pratchett,2000,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Secret Life of Plants,Peter Tompkins,1973,
The Sands of Mars,Arthur C. Clarke,1951,"Science Fiction, Speculative fiction"
In the Miso Soup,Ryu Murakami,1997,Novel
69,Ryu Murakami,1987,"Novel, Roman à clef"
Riz noir,Anna Moï,2004,Historical novel
The Lady in the Lake,Raymond Chandler,1943,"Crime Fiction, Detective fiction, Novel, Hardboiled"
Playback,Raymond Chandler,1958,"Crime Fiction, Mystery, Hardboiled"
White Light,William Barton,,"Science Fiction, Speculative fiction, Novel"
The House of the Scorpion,Nancy Farmer,2002,"Science Fiction, Speculative fiction, Young adult literature, Utopian and dystopian fiction"
The Lake House,James Patterson,2003,"Mystery, Science Fiction, Speculative fiction, Fiction"
New Grub Street,George Gissing,1891,"Fiction, Novel"
Bovo-Bukh,,,
The Crystal City,Orson Scott Card,2003,"Alternate history, Speculative fiction, Fantasy, Fiction"
Speed-the-Plow,David Mamet,,
The Aleph,Jorge Luis Borges,1945-09,"Speculative fiction, Short story"
The Children's Story,James Clavell,,"Short story, Novella"
The Wish List,Eoin Colfer,2003-10-01,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Supernaturalist,Eoin Colfer,2004,"Science Fiction, Speculative fiction, Dystopia"
Intimacy,Hanif Kureishi,,
Frenchman's Creek,Daphne du Maurier,1942,
Labyrinth of Evil,James Luceno,,"Science Fiction, Speculative fiction, Fiction"
The Sisterhood of the Traveling Pants,Ann Brashares,2001,"Children's literature, Young adult literature, Speculative fiction, Fiction"
Saturday,Ian McEwan,2005,Fiction
The Lost Years of Merlin,T. A. Barron,1996,"Children's literature, Fantasy, Speculative fiction, Fiction"
The Book of Laughter and Forgetting,Milan Kundera,,"Fiction, Magic realism, Novel"
The Joke,Milan Kundera,1967,"Fiction, Novel"
The Oath,,,"Fantasy, Horror"
The Cement Garden,Ian McEwan,,Fiction
Hitlers Bombe,,,
The Young Man From Atlanta,Horton Foote,,
Bitten,Kelley Armstrong,2001-10-01,"Horror, Adventure novel, Speculative fiction, Romance novel"
Chicken Trek,,,Children's literature
In Search of the Unknown,Mike Carr,,Role-playing game
Kendermore,Mary Kirchoff,1989-11-30,"Speculative fiction, Fantasy"
Boy Meets Boy,David Levithan,2003-09,"Young adult literature, Romance novel"
The Rule of Four,Ian Caldwell,2004,Novel
Journey by Moonlight,Antal Szerb,,"Fiction, Novel"
The Fan Club,Irving Wallace,1974,Fiction
Family Values,,,
Archangel,Robert Harris,1998,"Novel, Fiction, Suspense"
El Túnel,Ernesto Sabato,1948,Novel
The Ships of Earth,Orson Scott Card,,"Science Fiction, Speculative fiction, Fiction"
Lost at Sea,Bryan Lee O'Malley,,
The Marrow of Tradition,Charles W. Chesnutt,1901,Historical novel
The Grass Is Singing,Doris Lessing,1950,"Fiction, Novel"
The Sound of Waves,Yukio Mishima,1954,"Speculative fiction, Fiction, Novella"
Lysis,,,
Death and the King's Horseman,Wole Soyinka,,
At Bertram's Hotel,Agatha Christie,,"Cozy, Crime Fiction"
The Notting Hill Mystery,,,"Mystery, Detective fiction"
The Camp of the Saints,Jean Raspail,1973,"Speculative fiction, Novel"
A Home at the End of the World,Michael Cunningham,1990-11-07,Fiction
Kenilworth,Walter Scott,1821-01-08,Historical novel
The Death Dealers,Isaac Asimov,1958,Mystery
A Treasure's Trove,,,Children's literature
Anansi Boys,Neil Gaiman,2005-09,"Speculative fiction, Fantasy, Fiction"
"Fluke, or, I Know Why the Winged Whale Sings",Christopher Moore,2003-06-03,Absurdist fiction
The Fallon Blood,Robert Jordan,1980-02-01,"Speculative fiction, Romance novel, Historical novel"
The Twenty-One Balloons,William Pène du Bois,1947,"Speculative fiction, Children's literature"
Haunted,Chuck Palahniuk,2005-05-03,"Black comedy, Satire, Horror, Speculative fiction"
Hell House,Richard Matheson,1971,"Speculative fiction, Horror, Fiction"
Daredevil: Born Again,Frank Miller,1986-09,
Radix,A. A. Attanasio,1981,"Science Fiction, Speculative fiction"
Are You Afraid of the Dark?,Sidney Sheldon,2004,"Thriller, Crime Fiction"
The Minister's Wooing,Harriet Beecher Stowe,,Historical novel
Anil's Ghost,Michael Ondaatje,2000-03-30,"Fiction, Novel"
Son of a Witch,Gregory Maguire,2005,"Speculative fiction, Fantasy, Fiction, Parallel novel"
Pudd'nhead Wilson,Mark Twain,1894,"Science Fiction, Alternate history, Mystery, Satire"
Heart of a Dog,Mikhail Bulgakov,1925,"Science Fiction, Speculative fiction"
Scandal,A. N. Wilson,,Fiction
The Holcroft Covenant,Robert Ludlum,1978-07-27,"Spy fiction, Fiction"
The Power Broker,Robert Caro,1974,Biography
A Tiger for Malgudi,R. K. Narayan,1983,"Fiction, Novel"
The End of Alice,,,
Protector,Larry Niven,1973,"Science Fiction, Speculative fiction, Fiction, Novel"
Ignited Minds,Abdul Kalam,,
2001: A Space Odyssey,Arthur C. Clarke,1968,"Science Fiction, Speculative fiction"
Wintersmith,Terry Pratchett,2006,"Children's literature, Fantasy, Speculative fiction, Fiction"
I Shall Wear Midnight,,,Fantasy
The Peshawar Lancers,S. M. Stirling,2002,"Alternate history, Science Fiction, Speculative fiction"
The Edge of the Cloud,K. M. Peyton,1969-01,"Children's literature, Novel"
Flambards Divided,,,
Flambards in Summer,K. M. Peyton,1969-10,Children's literature
"David Starr, Space Ranger",Isaac Asimov,1952,"Science Fiction, Speculative fiction, Novel"
Agricola,,,
Lucky Starr and the Big Sun of Mercury,Isaac Asimov,1956,"Science Fiction, Speculative fiction, Novel"
Lucky Starr and the Moons of Jupiter,Isaac Asimov,1957,"Science Fiction, Speculative fiction, Fiction, Novel"
Lucky Starr and the Oceans of Venus,Isaac Asimov,1954,"Science Fiction, Speculative fiction, Novel"
Lucky Starr and the Rings of Saturn,Isaac Asimov,1958,"Science Fiction, Speculative fiction, Novel"
Lucky Starr and the Pirates of the Asteroids,Isaac Asimov,1953,"Science Fiction, Speculative fiction, Novel"
A Taste of Honey,Shelagh Delaney,,
A Year in the Merde,,,
The Knight of Sainte-Hermine,Alexandre Dumas,,
Phantoms,Dean Koontz,1983-03,"Thriller, Children's literature, Horror, Speculative fiction"
Kingdom of Fear,Hunter S. Thompson,,"Autobiography, Biography"
Starfighters of Adumar,Aaron Allston,,"Science Fiction, Speculative fiction, Fantasy, Fiction"
The Great Redwall Feast,Brian Jacques,1996,"Children's literature, Fantasy, Speculative fiction, Fiction"
Firefox,Craig Thomas,1977-08-08,"Techno-thriller, Fiction"
Oeconomicus,Xenophon,,Treatise
A Swiftly Tilting Planet,Madeleine L'Engle,1978-07-01,"Science Fiction, Children's literature, Speculative fiction, Young adult literature"
Hyperion,Dan Simmons,1989,"Science fantasy, Science Fiction, Novel, Speculative fiction"
Heir Apparent,Vivian Vande Velde,2002,"Science Fiction, Speculative fiction, Fantasy, Children's literature"
The Secret History,Donna Tartt,1992,"Fiction, Novel"
Jacob's Room,Virginia Woolf,1922-10-26,Novel
The Family,Mario Puzo,2001-10,"Historical fiction, Fiction, Historical novel"
"Roll of Thunder, Hear My Cry",Mildred Taylor,1976,Fiction
Tailchaser's Song,Tad Williams,1985-11-21,"Speculative fiction, Fantasy"
The Ascension Factor,Frank Herbert,1988,"Science Fiction, Speculative fiction"
The Outlaw of Torn,Edgar Rice Burroughs,1927,"Science Fiction, Children's literature, Reference, Historical fiction"
Hotel du Lac,Anita Brookner,1984-09-06,"Fiction, Romance novel, Novel"
Pharsalia,Lucan,,
Bend Sinister,Vladimir Vladimirovich Nabokov,,Dystopia
Der Richter und sein Henker,Friedrich Dürrenmatt,1950,"Crime Fiction, Detective fiction, Novella"
A Wish for Wings That Work,Berkeley Breathed,1991,Children's literature
Asterix and the Golden Sickle,René Goscinny,1962,
Way Station,Clifford D. Simak,1963,"Science Fiction, Speculative fiction, Fiction"
Black Wind,F. Paul Wilson,,"Techno-thriller, Speculative fiction, Fiction, Adventure novel"
Never Let Me Go,Kazuo Ishiguro,2005,"Fiction, Novel"
Asterix and the Goths,René Goscinny,1963,
The Richleighs of Tantamount,Barbara Willard,,Children's literature
The Moving Finger,Agatha Christie,,"Cozy, Crime Fiction"
The Testament,John Grisham,1999-02-02,"Thriller, Fiction, Suspense"
A Painted House,John Grisham,2001-02-06,"Thriller, Fiction"
"The Smiling, Proud Wanderer",Louis Cha,1967,Wuxia
Ella Minnow Pea,Mark Dunn,2002-10,"Epistolary novel, Novel"
Surfacing,Margaret Atwood,,"Speculative fiction, Fiction"
The Mad Man,Samuel R. Delany,1994,"Fiction, Novel"
Sons of Fortune,Jeffrey Archer,,Fiction
Guerrillas,V.S. Naipaul,1975,Novel
Feed,Matthew Tobin Anderson,2002,"Science Fiction, Fiction, Dystopia"
Possession: A Romance,A. S. Byatt,1990,"Speculative fiction, Novel"
Tomb of the Lizard King,Mark Acres,,
Shiroi Kyotō,Toyoko Yamasaki,,
A Case of Conscience,James Blish,1958,"Science Fiction, Speculative fiction, Novel"
Blind Lake,Robert Charles Wilson,2003-08-02,"Science Fiction, Speculative fiction"
La Distinction,,,
The King Must Die,Mary Renault,1958,"Speculative fiction, Fiction, Historical novel"
A Yellow Raft in Blue Water,Michael Dorris,1987-05,"Children's literature, Fiction, Novel"
Katherine,Anya Seton,,"Biography, Historical fiction, Romance novel, Fiction"
The Monkey,Stephen King,1980-11,
A History of Violence,John Wagner,1997,
The Mystery of the Blue Train,Agatha Christie,,"Crime Fiction, Mystery, Children's literature, Fiction"
The Way of the World,William Congreve,,
The Private Life of Chairman Mao,Li Zhisui,1994,Memoir
The Man in the Maze,Robert Silverberg,1969,"Science Fiction, Speculative fiction, Fiction"
Mortal Fear,Robin Cook,1988,"Thriller, Speculative fiction, Fiction, Novel"
Vi kallar honom Anna,,,Children's literature
The Angel of Darkness,Caleb Carr,1997-09,"Crime Fiction, Novel"
Songmaster,Orson Scott Card,,"Science Fiction, Speculative fiction, Fiction"
Cabal,Clive Barker,,"Speculative fiction, Horror"
Priestess of Avalon,Marion Zimmer Bradley,2000-11-06,"Speculative fiction, Fantasy, Historical novel"
Lady of Avalon,Marion Zimmer Bradley,1997-11-06,"Speculative fiction, Fantasy, Historical novel"
Clarissa,Samuel Richardson,1748,Epistolary novel
My Name Is Asher Lev,Chaim Potok,1972-03-12,"Children's literature, Künstlerroman, Fiction"
The Forest House,Marion Zimmer Bradley,1994-04-01,"Science Fiction, Speculative fiction, Fantasy, Historical fiction"
The Godwhale,T. J. Bass,1974,"Science Fiction, Speculative fiction"
Fengshen Yanyi,Xu Zhonglin,,Fantasy
Clotel,William Wells Brown,1853,Novel
The Medium is the Massage: An Inventory of Effects,Quentin Fiore,1967,
Make Room! Make Room!,Harry Harrison,1966,"Science Fiction, Speculative fiction, Dystopia"
The Ragged Trousered Philanthropists,Robert Tressell,1914-04-23,"Fiction, Novel"
Hegira,Greg Bear,,"Science Fiction, Speculative fiction, Fiction"
Jesuit Joe,Hugo Pratt,1980,
The Face on the Cutting-Room Floor,Ernest Borneman,1937,"Crime Fiction, Mystery"
The Dunwich Horror,H. P. Lovecraft,1929-04,
The Country of the Blind,H. G. Wells,,
Galvez – Imperador do Acre,,,
Country of the Blind,Christopher Brookmyre,1997,"Crime Fiction, Mystery, Satire, Fiction"
The Songs of Kings,Barry Unsworth,2002,Novel
The Confessions of Nat Turner,William Styron,1967,"Fiction, Novel"
Gertrud,Hermann Hesse,1910,Speculative fiction
Another Country,James Baldwin,1962,Novel
Humboldt's Gift,Saul Bellow,1975,
Pigs in Heaven,Barbara Kingsolver,1993,"Fiction, Novel"
